Hora;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1:00;1537,92;1125,86;1176,15;999,12;846,83;1031,75;1107,90;1377,15;1525,55;1732,71;1707,98;1649,23
2:00;1316,19;901,22;991,87;872,21;774,31;1002,75;1086,14;1344,88;1472,98;1646,14;1556,47;1456,04
3:00;1042,63;709,24;770,68;763,43;739,75;933,85;1017,25;1280,32;1409,42;1550,28;1430,94;1215,66
4:00;788,81;562,28;678,72;736,98;725,88;955,61;1057,14;1269,54;1391,49;1485,35;1298,26;1024,50
5:00;587,21;425,05;540,12;659,31;684,27;915,72;1020,88;1230,03;1316,19;1373,56;1125,86;806,94
6:00;412,75;310,25;451,70;603,83;650,98;879,46;991,87;1197,70;1258,76;1273,13;962,86;623,24
7:00;314,35;243,45;371,75;576,13;653,76;828,70;955,61;1172,56;1219,25;1204,88;904,84;515,19
8:00;273,35;225,11;314,35;484,72;595,52;872,21;988,24;1222,84;1179,74;1179,74;875,84;476,41
9:00;279,50;226,42;314,35;501,34;589,98;828,70;933,85;1154,60;1140,23;1161,78;904,84;529,04
10:00;332,80;255,24;377,90;578,90;612,15;897,59;980,99;1194,11;1201,29;1240,80;999,12;620,47
11:00;402,50;308,20;457,85;675,95;689,82;810,57;991,87;1233,62;1255,17;1344,88;1151,00;723,11
12:00;531,81;382,00;551,20;777,93;835,95;984,62;1042,63;1298,26;1344,88;1459,63;1287,50;944,73
13:00;650,98;453,75;648,21;897,59;955,61;1035,38;1082,52;1359,22;1445,28;1531,73;1430,94;1104,27
14:00;821,45;567,82;785,19;991,87;930,23;1133,04;1168,96;1430,94;1525,55;1599,76;1519,36;1305,43
15:00;1057,14;712,01;901,22;1046,26;1013,62;1078,89;1154,60;1459,63;1571,93;1667,78;1630,68;1500,81
16:00;1326,95;922,97;1136,64;1201,29;1049,88;1186,92;1226,44;1488,44;1639,95;1769,82;1798,78;1698,70
17:00;1581,20;1165,37;1312,60;1273,13;1064,39;1179,74;1226,44;1494,63;1689,42;1817,76;1876,40;1834,84
18:00;1787,39;1409,42;1452,46;1337,70;1097,02;1215,66;1269,54;1513,18;1605,94;1831,04;1931,36;1924,03
19:00;1867,10;1494,63;1522,46;1326,95;1057,14;1294,67;1344,88;1568,84;1732,71;1872,73;1962,50;1955,17
20:00;1914,87;1602,85;1584,30;1337,70;1028,13;1251,58;1330,53;1559,56;1757,45;1911,20;1966,66;1964,74
21:00;1918,53;1615,22;1541,01;1273,13;999,12;1201,29;1276,72;1547,19;1732,71;1894,72;1963,46;1964,42
22:00;1892,88;1556,47;1494,63;1230,03;973,74;1204,88;1287,50;1528,64;1735,80;1896,55;1933,19;1913,04
23:00;1825,35;1463,21;1413,01;1165,37;944,73;1183,33;1251,58;1565,74;1673,96;1861,41;1883,72;1867,10
0:00;1717,25;1312,60;1265,95;1020,88;861,33;1068,01;1165,37;1434,53;1599,76;1796,88;1796,88;1783,59
